store_county,month_id,sales
14-Constanta,202110,7526.94
14-Constanta,202111,9088.69
14-Constanta,202112,9678.77
14-Constanta,202201,9346.32
14-Constanta,202202,9337.36
14-Constanta,202203,13663.84
14-Constanta,202204,13423.07
14-Constanta,202205,12191.1
14-Constanta,202206,13206.4
14-Constanta,202207,25385.05
14-Constanta,202208,23816.08
14-Constanta,202209,19549.71
14-Constanta,202210,19060.74
14-Constanta,202211,21651.649999999998
14-Constanta,202212,17535.44
15-Cluj,201901,1649.1299999999999
15-Cluj,201902,1676.05
15-Cluj,201903,3841.56
15-Cluj,201904,1239.54
15-Cluj,201905,4988.46
15-Cluj,201906,1145.17
15-Cluj,201907,2459.21
15-Cluj,201908,3533.64
15-Cluj,201909,2948.77
15-Cluj,201910,2075.5099999999998
15-Cluj,201911,2266.86
15-Cluj,201912,2767.1400000000003
15-Cluj,202001,2093.47
15-Cluj,202002,3186.21
15-Cluj,202003,3227.07
15-Cluj,202004,19605.95
15-Cluj,202005,1935.2
15-Cluj,202006,3501.7
15-Cluj,202007,2632.23
15-Cluj,202008,3219.46
15-Cluj,202009,3267.37
15-Cluj,202010,3301.27
15-Cluj,202011,2931.55
15-Cluj,202012,2975.51
15-Cluj,202101,1031.03
15-Cluj,202102,2519.06
15-Cluj,202103,2953.12
15-Cluj,202104,2987.0099999999998
15-Cluj,202105,2227.65
15-Cluj,202106,2637.85
15-Cluj,202107,4851.38
15-Cluj,202108,7657.8
15-Cluj,202109,6143.17
15-Cluj,202110,4638.67
15-Cluj,202111,3499.16
15-Cluj,202112,2705.48
15-Cluj,202201,2480.46
15-Cluj,202202,6715.5
15-Cluj,202203,1604.36
15-Cluj,202204,5128.52
15-Cluj,202205,3087.65
15-Cluj,202206,4505.97
15-Cluj,202207,6931.17
15-Cluj,202208,7246.719999999999
15-Cluj,202209,5596.23
15-Cluj,202210,2379.72
15-Cluj,202211,4436.22
15-Cluj,202212,6384.52
16-Bacau,201901,1272.28
16-Bacau,201902,1681.23
16-Bacau,201903,1549.27
16-Bacau,201904,1122.98
16-Bacau,201905,1364.02
16-Bacau,201906,1649.8799999999999
16-Bacau,201907,782.6
16-Bacau,201908,1480.53
16-Bacau,201909,1740.81
16-Bacau,201910,1250.22
16-Bacau,201911,2214.13
16-Bacau,201912,2024.33
16-Bacau,202001,1839.66
16-Bacau,202002,4066.62
16-Bacau,202003,4734.2
16-Bacau,202004,2983.98
16-Bacau,202005,2688.7400000000002
16-Bacau,202006,2213.61
16-Bacau,202007,3026.91
16-Bacau,202008,2066.87
16-Bacau,202009,2553.93
16-Bacau,202010,2959.99
16-Bacau,202011,2097.32
16-Bacau,202012,2655.56
16-Bacau,202101,2598.65
16-Bacau,202102,1946.02
16-Bacau,202103,1462.59
16-Bacau,202104,1679.73
16-Bacau,202105,1983.77
16-Bacau,202106,1682.4
16-Bacau,202107,1907.77
16-Bacau,202108,2586.07
16-Bacau,202109,1601.54
16-Bacau,202110,2582.96
16-Bacau,202111,2768.82
16-Bacau,202112,2541.2
16-Bacau,202201,2382.12
16-Bacau,202202,2837.09
16-Bacau,202203,1598.3100000000002
16-Bacau,202204,1032.46
16-Bacau,202205,994.82
16-Bacau,202206,1138.34
16-Bacau,202207,781.4
16-Bacau,202208,477.22
16-Bacau,202209,470.54
16-Bacau,202210,457.11
16-Bacau,202211,1656.3700000000001
16-Bacau,202212,1515.39
17-Dolj,201901,4854.93
17-Dolj,201902,4316.58
17-Dolj,201903,3877.14
17-Dolj,201904,4720.86
17-Dolj,201905,3073.32
17-Dolj,201906,3411.43
17-Dolj,201907,3525.73
17-Dolj,201908,3813.14
17-Dolj,201909,4491.75
17-Dolj,201910,4366.37
17-Dolj,201911,2437.86
17-Dolj,201912,4258.59
17-Dolj,202001,4356.57
17-Dolj,202002,3837.69
17-Dolj,202003,6895.04
17-Dolj,202004,4057.8900000000003
17-Dolj,202005,2675.33
17-Dolj,202006,4135.43
17-Dolj,202007,4081.28
17-Dolj,202008,3813.89
17-Dolj,202009,3440.16
17-Dolj,202010,5153.38
17-Dolj,202011,3555.6800000000003
17-Dolj,202012,4363.11
17-Dolj,202101,4200.78
17-Dolj,202102,4143.54
17-Dolj,202103,4237.03
17-Dolj,202104,9335.26
17-Dolj,202105,3795.28
17-Dolj,202106,4702.79
17-Dolj,202107,6434.7
17-Dolj,202108,7525.24
17-Dolj,202109,7410.08
17-Dolj,202110,7648.14
17-Dolj,202111,7629.400000000001
17-Dolj,202112,6571.79
17-Dolj,202201,5311.59
17-Dolj,202202,8292.4
17-Dolj,202203,10172.83
17-Dolj,202204,7389.7300000000005
17-Dolj,202205,6327.51
17-Dolj,202206,9728.539999999999
17-Dolj,202207,13051.46
17-Dolj,202208,10774.91
17-Dolj,202209,13860.699999999999
17-Dolj,202210,10315.97
17-Dolj,202211,12265.800000000001
17-Dolj,202212,9666.710000000001
18-Bucuresti,201901,3812.01
18-Bucuresti,201902,4234.7699999999995
18-Bucuresti,201903,5081.42
18-Bucuresti,201904,4488.94
18-Bucuresti,201905,3290.13
18-Bucuresti,201906,3284.91
18-Bucuresti,201907,3664.45
18-Bucuresti,201908,4604.5199999999995
18-Bucuresti,201909,3939.04
18-Bucuresti,201910,3665.69
18-Bucuresti,201911,3888.12
18-Bucuresti,201912,3600.4500000000003
18-Bucuresti,202001,3945.29
18-Bucuresti,202002,11473.22
18-Bucuresti,202003,5855.9
18-Bucuresti,202004,4864.25
18-Bucuresti,202005,3799.08
18-Bucuresti,202006,3632.9
18-Bucuresti,202007,4756.1900000000005
18-Bucuresti,202008,10141.66
18-Bucuresti,202009,16992.1
18-Bucuresti,202010,23142.97
18-Bucuresti,202011,30168.52
18-Bucuresti,202012,26973.66
18-Bucuresti,202101,21194.78
18-Bucuresti,202102,5144.650000000001
18-Bucuresti,202103,4624.17
18-Bucuresti,202104,5980.59
18-Bucuresti,202105,5795.75
18-Bucuresti,202106,4441.0
18-Bucuresti,202107,4977.8
18-Bucuresti,202108,5799.72
18-Bucuresti,202109,5658.71
18-Bucuresti,202110,5217.82
18-Bucuresti,202111,5222.83
18-Bucuresti,202112,8030.030000000001
18-Bucuresti,202201,5714.34
18-Bucuresti,202202,5602.96
18-Bucuresti,202203,9782.22
18-Bucuresti,202204,5140.53
18-Bucuresti,202205,8533.28
18-Bucuresti,202206,5311.74
18-Bucuresti,202207,7581.53
18-Bucuresti,202208,7572.71
18-Bucuresti,202209,10481.64
18-Bucuresti,202210,9435.39
18-Bucuresti,202211,7782.56
18-Bucuresti,202212,8749.63
19-Bihor,201901,1443.07
19-Bihor,201902,1192.83
19-Bihor,201903,1619.05
19-Bihor,201904,4283.29
19-Bihor,201905,7813.63
19-Bihor,201906,5831.24
19-Bihor,201907,9054.06
19-Bihor,201908,6858.68
19-Bihor,201909,6419.69
19-Bihor,201910,4403.47
19-Bihor,201911,4946.65
19-Bihor,201912,3137.82
19-Bihor,202001,1184.35
19-Bihor,202002,2908.94
19-Bihor,202003,1837.71
19-Bihor,202004,1169.91
19-Bihor,202005,913.0
19-Bihor,202006,3110.7
19-Bihor,202007,5936.71
19-Bihor,202008,8041.0199999999995
19-Bihor,202009,7632.799999999999
19-Bihor,202010,6584.44
19-Bihor,202011,2755.44
19-Bihor,202012,1807.94
19-Bihor,202101,2797.75
19-Bihor,202102,3901.3
19-Bihor,202103,2947.3
19-Bihor,202104,3882.21
19-Bihor,202105,3867.14
19-Bihor,202106,3898.3
19-Bihor,202107,7495.41
19-Bihor,202108,4715.37
19-Bihor,202109,5590.69
